Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,10,11580.299,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,11,12667.589,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,12,11773.922,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,13,7708.26,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,14,7985.516,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,15,11451.105,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,16,11891.833,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,17,14009.631,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,18,3853.364,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,19,3956.502,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,20,12702.947,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,21,6978.065,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,22,7215.148,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,23,11957.398,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,24,8384.52,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,25,10309.909,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,26,13347.506,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,27,4734.682,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,28,3250.047,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,29,4313.533,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,RSI,30,4339.435,0.0,0,0,0
