Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,10,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,11,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,12,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,13,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,14,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,15,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,16,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,17,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,18,8726.191,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,19,8726.191,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,20,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,21,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,22,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,23,10394.326,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,24,10384.616,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,25,9964.315,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,26,9826.957,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,27,9971.613,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,28,9872.771,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,29,9939.095,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,30,9912.114,0.0,0,0,0
