Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,10,8262.843,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,11,7457.874,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,12,11907.935,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,13,11687.74,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,14,8708.888,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,15,8654.715,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,16,7770.876,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,17,5062.578,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,18,4397.167,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,19,6812.022,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,20,7274.061,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,21,12217.655,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,22,8107.088,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,23,8252.476,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,24,8855.266,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,25,8075.259,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,26,4567.101,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,27,5491.231,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,28,5489.601,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,29,5457.052,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,RSI,30,5489.517,0.0,0,0,0
