Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,10,10260.676,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,11,10260.676,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,12,10260.676,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,13,10260.676,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,14,10260.676,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,15,10260.676,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,16,10261.505,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,17,10262.332,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,18,10261.531,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,19,10262.785,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,20,10263.608,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,21,10263.555,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,22,10262.23,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,23,10263.336,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,24,10262.1,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,25,10262.311,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,26,10261.506,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,27,10259.663,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,28,10261.625,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,29,10262.045,0.0,0,0,0
BTCUSDT,5m,2022-01-01,2024-08-31,RSI,30,10263.054,0.0,0,0,0
