Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,10,11463.668,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,11,6296.862,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,12,11711.716,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,13,8218.109,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,14,8671.115,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,15,11201.581,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,16,12032.292,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,17,14909.042,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,18,4376.58,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,19,5507.511,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,20,7312.621,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,21,11887.75,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,22,7737.657,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,23,7542.052,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,24,8792.704,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,25,11349.106,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,26,14370.078,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,27,14471.509,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,28,14518.264,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,29,14453.221,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,RSI,30,14482.801,0.0,0,0,0
