Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,10,11931.585,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,11,13581.845,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,12,12746.989,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,13,7428.229,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,14,11892.636,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,15,8061.003,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,16,11509.304,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,17,6322.459,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,18,5574.007,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,19,5108.886,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,20,11690.466,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,21,9560.126,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,22,9920.913,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,23,9472.414,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,24,10323.908,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,25,10374.139,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,26,11012.021,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,27,10621.268,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,28,10614.231,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,29,10618.429,0.0,0,0,0
ETHUSDT,12h.csv,2022-01-01,2024-08-31,RSI,30,10605.237,0.0,0,0,0
