Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,10,11998.736,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,11,13513.256,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,12,12720.796,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,13,6906.427,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,14,7398.931,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,15,11859.64,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,16,11362.896,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,17,12904.889,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,18,5180.673,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,19,4136.852,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,20,11715.525,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,21,9117.137,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,22,9732.48,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,23,10242.319,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,24,9643.617,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,25,9882.408,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,26,11023.477,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,27,8739.517,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,28,8105.214,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,29,8542.283,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,RSI,30,8493.964,0.0,0,0,0
