Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,10,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,11,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,12,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,13,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,14,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,15,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,16,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,17,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,18,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,19,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,20,9495.605,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,21,9614.77,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,22,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,23,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,24,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,25,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,26,9688.985,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,27,9833.369,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,28,9667.547,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,29,9730.517,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,30,9776.962,0.0,0,0,0
