Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,10,10598.177,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,11,11776.597,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,12,12163.953,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,13,11867.191,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,14,6350.969,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,15,7559.036,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,16,7552.39,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,17,11765.197,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,18,11361.824,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,19,13417.198,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,20,6007.672,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,21,3622.961,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,22,7952.671,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,23,8885.623,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,24,9716.017,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,25,9808.895,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,26,9807.443,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,27,9741.787,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,28,9720.344,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,29,9865.855,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,RSI,30,9837.216,0.0,0,0,0
