Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,10,7736.268,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,11,7068.186,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,12,13205.603,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,13,12261.317,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,14,7660.831,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,15,8166.631,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,16,8479.668,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,17,6568.038,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,18,5946.96,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,19,7556.41,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,20,8080.459,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,21,10325.185,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,22,10045.016,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,23,9871.093,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,24,10369.28,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,25,10517.742,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,26,11137.456,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,27,10997.565,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,28,10990.147,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,29,10995.08,0.0,0,0,0
ETHUSDT,30m.csv,2022-01-01,2024-08-31,RSI,30,10996.337,0.0,0,0,0
