Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,10,9673.671,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,11,9673.671,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,12,9673.671,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,13,9673.671,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,14,9673.671,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,15,9673.671,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,16,9674.511,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,17,9674.77,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,18,9674.611,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,19,9674.959,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,20,9675.482,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,21,9676.689,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,22,9676.872,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,23,9677.107,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,24,9676.144,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,25,9677.001,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,26,9676.79,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,27,9675.127,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,28,9676.084,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,29,9676.329,0.0,0,0,0
ETHUSDT,5m,2022-01-01,2024-08-31,RSI,30,9676.751,0.0,0,0,0
