Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,10,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,11,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,12,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,13,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,14,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,15,9796.199,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,16,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,17,9802.518,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,18,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,19,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,20,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,21,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,22,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,23,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,24,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,25,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,26,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,27,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,28,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,29,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,RSI,30,10000.0,0.0,0,0,0
