Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,10,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,11,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,12,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,13,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,14,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,15,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,16,9669.104,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,17,9670.692,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,18,9670.134,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,19,9670.651,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,20,9671.727,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,RSI,21,9672.764,0.0,0,0,0
