Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,10,11580.299,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,11,12667.589,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,12,11773.922,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,13,7708.26,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,14,7985.516,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,15,11451.105,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,16,11891.833,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,17,14009.631,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,18,3853.364,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,19,3956.502,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,20,12702.947,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,21,6978.065,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,22,7215.148,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,23,11957.398,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,24,8384.52,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,25,10309.909,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,26,13347.506,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,27,4734.682,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,28,3250.047,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,29,4313.533,0.0,0,0,0
BTCUSDT,1d.csv,2022-01-01,2024-08-31,SMA,30,4339.435,0.0,0,0,0
