Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,10,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,11,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,12,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,13,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,14,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,15,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,16,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,17,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,18,8726.191,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,19,8726.191,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,20,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,21,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,22,10562.903,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,23,10394.326,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,24,10384.616,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,25,9964.315,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,26,9826.957,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,27,9971.613,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,28,9872.771,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,29,9939.095,0.0,0,0,0
BTCUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,30,9912.114,0.0,0,0,0
