Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,10,11045.453,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,11,11613.644,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,12,11678.927,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,13,11792.88,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,14,7774.182,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,15,8408.045,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,16,11295.128,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,17,11341.838,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,18,11766.149,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,19,14806.654,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,20,4523.983,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,21,3618.914,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,22,7327.704,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,23,7187.47,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,24,7449.243,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,25,8204.899,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,26,7501.829,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,27,11484.517,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,28,11069.105,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,29,11499.225,0.0,0,0,0
BTCUSDT,1w.csv,2022-01-01,2024-08-31,SMA,30,8089.787,0.0,0,0,0
