Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,10,8262.843,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,11,7457.874,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,12,11907.935,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,13,11687.74,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,14,8708.888,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,15,8654.715,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,16,7770.876,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,17,5062.578,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,18,4397.167,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,19,6812.022,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,20,7274.061,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,21,12217.655,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,22,8107.088,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,23,8252.476,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,24,8855.266,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,25,8075.259,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,26,4567.101,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,27,5491.231,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,28,5489.601,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,29,5457.052,0.0,0,0,0
BTCUSDT,30m.csv,2022-01-01,2024-08-31,SMA,30,5489.517,0.0,0,0,0
