Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,10,11463.668,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,11,6296.862,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,12,11711.716,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,13,8218.109,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,14,8671.115,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,15,11201.581,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,16,12032.292,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,17,14909.042,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,18,4376.58,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,19,5507.511,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,20,7312.621,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,21,11887.75,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,22,7737.657,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,23,7542.052,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,24,8792.704,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,25,11349.106,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,26,14370.078,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,27,14471.509,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,28,14518.264,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,29,14453.221,0.0,0,0,0
BTCUSDT,8h.csv,2022-01-01,2024-08-31,SMA,30,14482.801,0.0,0,0,0
