Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,10,11998.736,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,11,13513.256,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,12,12720.796,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,13,6906.427,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,14,7398.931,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,15,11859.64,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,16,11362.896,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,17,12904.889,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,18,5180.673,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,19,4136.852,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,20,11715.525,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,21,9117.137,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,22,9732.48,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,23,10242.319,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,24,9643.617,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,25,9882.408,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,26,11023.477,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,27,8739.517,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,28,8105.214,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,29,8542.283,0.0,0,0,0
ETHUSDT,1d.csv,2022-01-01,2024-08-31,SMA,30,8493.964,0.0,0,0,0
