Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,10,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,11,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,12,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,13,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,14,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,15,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,16,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,17,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,18,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,19,9472.646,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,20,9495.605,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,21,9614.77,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,22,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,23,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,24,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,25,9751.975,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,26,9688.985,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,27,9833.369,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,28,9667.547,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,29,9730.517,0.0,0,0,0
ETHUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,30,9776.962,0.0,0,0,0
