Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,10,10598.177,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,11,11776.597,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,12,12163.953,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,13,11867.191,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,14,6350.969,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,15,7559.036,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,16,7552.39,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,17,11765.197,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,18,11361.824,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,19,13417.198,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,20,6007.672,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,21,3622.961,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,22,7952.671,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,23,8885.623,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,24,9716.017,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,25,9808.895,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,26,9807.443,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,27,9741.787,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,28,9720.344,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,29,9865.855,0.0,0,0,0
ETHUSDT,1w.csv,2022-01-01,2024-08-31,SMA,30,9837.216,0.0,0,0,0
