Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,10,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,11,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,12,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,13,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,14,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,15,9796.199,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,16,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,17,9802.518,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,18,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,19,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,20,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,21,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,22,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,23,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,24,9874.625,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,25,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,26,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,27,9868.557,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,28,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,29,9810.354,0.0,0,0,0
XRPUSDT,1mth.csv,2022-01-01,2024-08-31,SMA,30,10000.0,0.0,0,0,0
