Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,10,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,11,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,12,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,13,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,14,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,15,9665.718,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,16,9669.104,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,17,9670.692,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,18,9670.134,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,19,9670.651,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,20,9671.727,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,21,9672.764,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,22,9672.844,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,23,9674.088,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,24,9671.566,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,25,9673.006,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,26,9672.405,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,27,9671.406,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,28,9672.245,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,29,9671.926,0.0,0,0,0
XRPUSDT,5m,2022-01-01,2024-08-31,SMA,30,9671.885,0.0,0,0,0
